Nom,Popularitat,Artista,Artistes,Data,uri
El Far del Sud,49,Sopa de Cabra,Sopa De Cabra,1998-11-15,2nZ2shb6iuB1vzoV2mFMxf
Desembre,49,The Tyets,The Tyets,2005-02-05,3Tkw9VQ0a5eV7swbiJTx80
Cara de cul,49,Oques Grasses,Oques Grasses,2005-02-05,42a9IfN7PYFNg3dnlm1vnm
Corren,49,Gossos,Gossos,2007-04-15,0vofzna9wXtyY7eHKSnmdt
"Ai, Dolors",49,Manel,Manel,2008-11-11,0Glt1F8CjYER9OksWxUTVv
Louisiana O Els Camps De Cotó,49,Els Amics de les Arts,Els Amics De Les Arts,2012-05-01,5KBBltUxBSk58WiTszBdQB
Blue tack,49,Els Pets,Els Pets,2013-10-01,6qYo7Fi9sbJO8gfHe3VkDz
Estiu,49,Zoo,ZOO,2014-11-10,2IFTKzkdw6XmFlJQiWvHVk
Tu Fas,49,Doctor Prats,Doctor Prats,2018-05-04,3dfJzEtJMd7CUkpqLHSVwn
Serà perquè t'estimo,49,Buhos,"Buhos, Dany Bpm, Mon DJ",2023-07-21,5KOvTfUOPCmG0HO99HuXlt
La meva sort,49,Ginestà,Ginestà,2024-02-09,2VOwxQnBFyAYRsRKtO9zbm
ARA,49,Nil Moliner,Nil Moliner,2024-03-20,0S2e8la8KZIIxzkzKcSIqZ
GOSSEJAR,49,Al·lèrgiques al pol·len,"Oques Grasses, Al·lèrgiques al pol·len",2024-04-12,68lFXYmWH2q3rz2qluwVI5
Vaya Liada,49,Mushkaa,"Mushkaa, Julieta, akaluigi, Bexnil, roots, nusar3000",2024-08-15,2OL5S46cBDRfkz2O7SYFUF
espero que siguis a un lloc millor,49,31 FAM,"31 FAM, el kid",2024-12-13,1Go6GAZOZokTuyZebQV32o
T'estiu,49,Alfred García,Alfred García,2025-03-07,6lgMnEEcSsptqmPEuU6vrw
Cafè pels més cafeteros,48,The Tyets,The Tyets,2005-02-05,4w04fsMYukU7TUutzBmIeD
"Amics, Tiets i Coneguts",48,The Tyets,"The Tyets, Els Amics De Les Arts",2005-02-05,0rmUYtY05iEgbOoeWgxL0t
Cançó de L'Aire,48,Oques Grasses,Oques Grasses,2005-02-05,0DEoxN2GuvQJSMNDN2XFlY
Fullar sempre,48,Oques Grasses,Oques Grasses,2005-02-05,2ud3FzT13glRPIp2p6fgd6
Jean-Luc,48,Els Amics de les Arts,Els Amics De Les Arts,2009-09-01,5KLRR7qPSJH4XHd6DrjOgQ
La Dansa del Vestit,48,Txarango,Txarango,2012-05-11,4bIdxMI72u1D84zJpz0hAN
Invencibles,48,Els Catarres,Els Catarres,2013-03-21,1w7oNQFyiwexkUohLCDyu9
T'Estimo Molt,48,Lax'n'Busto,Lax'n'Busto,2014-04-22,3FY3W22KrDkkxintD2gpqk
